9 0:0.04595217762596072 1:16331.0 2:27829.0 3:0.5868338783283625 4:0.1888406186506942 5:0.1353569842258456 6:0.15612788765798588 7:0.9 8:0.46 9:0.5 10:0.427 11:0.4753 12:0.0
7 0:0.03259910829718594 1:5586.0 2:27829.0 3:0.20072586151137303 4:0.2732326166957195 5:0.1353569842258456 6:1.0375611361102748 7:1.0 8:0.52 9:0.5 10:0.2736 11:0.4546 12:0.6
6 0:0.0008110816011705021 1:8100.0 2:27829.0 3:0.2910632793129469 4:0.9985614960441141 5:0.1353569842258456 6:40.66924068744643 7:1.0 8:0.66 9:0.6 10:0.5032 11:0.5472 12:0.5
8 0:0.03456111175143661 1:16003.0 2:27829.0 3:0.5750476122030975 4:0.1775957154307128 5:0.1353569842258456 6:0.09737789648671775 7:0.9 8:0.4 9:0.5 10:0.3433 11:0.5481 12:0.1
9 0:0.04595217762596072 1:27829.0 2:16331.0 3:1.7040597636397037 4:0.1353569842258456 5:0.1888406186506942 6:0.08021415154858647 7:0.9 8:0.46 9:0.5 10:0.427 11:0.4753 12:0.0
8 0:0.027268220128904314 1:5586.0 2:16331.0 3:0.3420488641234462 4:0.2732326166957195 5:0.1888406186506942 6:0.1997154712640456 7:1.0 8:0.56 9:0.5 10:0.427 11:0.4688 12:0.6
6 0:0.0006348668895754856 1:8100.0 2:16331.0 3:0.49598922295021736 4:0.9985614960441141 5:0.1888406186506942 6:18.385686264639563 7:1.0 8:0.71 9:0.6 10:0.4407 11:0.5052 12:0.5
7 0:0.03791670528624834 1:16003.0 2:16331.0 3:0.9799154981323862 4:0.1775957154307128 5:0.1888406186506942 6:0.0035458520839339145 7:0.4375 8:0.41 9:0.5 10:0.4788 11:0.5804 12:0.0
7 0:0.03259910829718594 1:27829.0 2:5586.0 3:4.981919083422842 4:0.1353569842258456 5:0.2732326166957195 6:0.2546302243820988 7:1.0 8:0.52 9:0.5 10:0.2736 11:0.4546 12:0.6
9 0:0.027268220128904314 1:16331.0 2:5586.0 3:2.9235588972431077 4:0.1888406186506942 5:0.2732326166957195 6:0.09539760153965704 7:1.0 8:0.56 9:0.5 10:0.427 11:0.4688 12:0.6
6 0:0.0009030210157618214 1:8100.0 2:5586.0 3:1.4500537056928033 4:0.9985614960441141 5:0.2732326166957195 6:7.047009489908803 7:1.0 8:0.76 9:0.6 10:0.5032 11:0.4599 12:0.3
8 0:0.02935951477436377 1:16003.0 2:5586.0 3:2.86484067311135 4:0.1775957154307128 5:0.2732326166957195 6:0.12251405361199273 7:1.0 8:0.57 9:0.5 10:0.4477 11:0.4627 12:0.6
9 0:0.0008110816011705021 1:27829.0 2:8100.0 3:3.435679012345679 4:0.1353569842258456 5:0.9985614960441141 6:0.7472703857134959 7:1.0 8:0.66 9:0.6 10:0.5032 11:0.5472 12:0.5
8 0:0.0006348668895754856 1:16331.0 2:8100.0 3:2.0161728395061727 4:0.1888406186506942 5:0.9985614960441141 6:0.6575382814851172 7:1.0 8:0.71 9:0.6 10:0.4407 11:0.5052 12:0.5
7 0:0.0009030210157618214 1:5586.0 2:8100.0 3:0.6896296296296296 4:0.2732326166957195 5:0.9985614960441141 6:0.5276188550388081 7:1.0 8:0.76 9:0.6 10:0.5032 11:0.4599 12:0.3
6 0:0.000531582654457985 1:16003.0 2:8100.0 3:1.975679012345679 4:0.1775957154307128 5:0.9985614960441141 6:0.6759280646342736 7:1.0 8:0.76 9:0.7 10:0.5641 11:0.5914 12:0.5
8 0:0.03456111175143661 1:27829.0 2:16003.0 3:1.7389864400424921 4:0.1353569842258456 5:0.1775957154307128 6:0.056566168140985876 7:0.9 8:0.4 9:0.5 10:0.3433 11:0.5481 12:0.1
9 0:0.03791670528624834 1:16331.0 2:16003.0 3:1.020496156970568 4:0.1888406186506942 5:0.1775957154307128 6:0.004009096185897322 7:0.4375 8:0.41 9:0.5 10:0.4788 11:0.5804 12:0.0
7 0:0.02935951477436377 1:5586.0 2:16003.0 3:0.34905955133412486 4:0.2732326166957195 5:0.1775957154307128 6:0.2899920045994327 7:1.0 8:0.57 9:0.5 10:0.4477 11:0.4627 12:0.6
6 0:0.000531582654457985 1:8100.0 2:16003.0 3:0.5061550959195151 4:0.9985614960441141 5:0.1775957154307128 6:21.369046421287777 7:1.0 8:0.76 9:0.7 10:0.5641 11:0.5914 12:0.5
